State,Democratic Candidates,Republican Candidates,Other Candidates
AL,331764.0,1500139.0,67067.0
AK,244033.0,278017.0,40091.0
AS,5328.0,4306.0,612.0
AZ,577947.0,817178.0,72492.0
AR,588948.0,988450.0,100759.0
CA,4067737.0,2950679.0,114005.0
CO,1880620.0,1984088.0,176875.0
CT,596390.0,409513.0,61954.0
DE,267906.0,183969.0,13780.0
DC,143923.0,11673.0,16297.0
FL,2130626.0,2713451.0,154478.0
GA,2117172.0,2707164.0,49134.0
GU,20693.0,14956.0,113.0
HI,482227.0,218090.0,13634.0
ID,311652.0,560668.0,7.0
IL,3752416.0,3260387.0,158718.0
IN,502104.0,793759.0,44951.0
IA,1003559.0,1184440.0,62035.0
KS,311530.0,1001106.0,415632.0
KY,1092849.0,1693944.0,46701.0
LA,1752106.0,2689630.0,144300.0
ME,495474.0,641554.0,59326.0
MD,978267.0,704400.0,20370.0
MA,2765386.0,1100548.0,32854.0
MI,3223966.0,2756948.0,230338.0
MN,2038965.0,1763766.0,142336.0
MS,469453.0,707650.0,81034.0
MO,513600.0,838283.0,74420.0
MT,296874.0,417580.0,23335.0
NE,355361.0,688452.0,32054.0
NV,210147.0,28053.0,304809.0
NH,498653.0,467726.0,2700.0
NJ,2050824.0,1732289.0,69062.0
NM,557631.0,469639.0,121.0
NY,1788105.0,1257412.0,606190.0
NC,2739346.0,3020201.0,132978.0
ND,95678.0,138100.0,14892.0
MP,8549.0,0.0,4547.0
OH,1179587.0,1770923.0,49651.0
OK,646252.0,1572781.0,76003.0
OR,1592676.0,1121756.0,197888.0
PA,1467594.0,1833205.0,28404.0
PR,0.0,0.0,0.0
RI,416451.0,215405.0,1299.0
SC,1293334.0,2164612.0,176893.0
SD,174941.0,324575.0,56215.0
TN,886269.0,1698933.0,160024.0
TX,3071403.0,5546123.0,484331.0
UT,183491.0,351034.0,31445.0
VT,123349.0,59432.0,8723.0
VI,21224.0,1964.0,224.0
VA,2010842.0,2348528.0,201747.0
WA,1047747.0,981853.0,0.0
WV,338844.0,524643.0,29590.0
WI,1102581.0,1233336.0,19663.0
WY,67180.0,234592.0,31718.0
Total:   ,56891574.0,64681903.0,5138819.0
NA,0.44898226767195504,0.5104627178407374,0.04055501448730753
NA,NA,NA,NA
NA,NA,NA,NA
Notes on Charts,NA,NA,NA
NA,NA,NA,NA
"*  Runoff election vote totals have been included with the primary election totals.  (For the U.S. Senate, runoff elections were held in Georgia, Mississippi, Oklahoma (Unexpired Term), and Texas.  For the U.S. House of Representatives, runoff elections were held in Alabama, Georgia, Mississippi, North Carolina, Oklahoma, and Texas.)  For Louisiana, the December election vote totals have been included with the general election totals.",NA,NA,NA
NA,NA,NA,NA
"*  The votes for both full and unexpired terms are included in the totals.  This applies to Hawaii (Senate), Oklahoma (Senate), South Carolina (Senate), New Jersey (NJ/01), North Carolina (NC/12), and Virginia (VA/07).",NA,NA,NA
NA,NA,NA,NA
The following three situations account for blank spaces in the charts and should be considered when making comparisons or drawing conclusions about the vote totals.,NA,NA,NA
NA,NA,NA,NA
"*  In some states, i.e., Connecticut, Utah and Virginia, political parties may nominate general election candidates by party convention, rather than by primary election.",NA,NA,NA
NA,NA,NA,NA
"*  In some states, there were unopposed candidates whose names did not appear on a ballot and therefore received no votes.",NA,NA,NA
NA,NA,NA,NA
    *  33 states had regularly scheduled U.S. Senate elections in 2014.,NA,NA,NA
